job_name,company_name,job_url,work_place,salary,publish_time
数据分析师,三盟科技股份有限公司,https://jobs.51job.com/guangzhou-hzq/102671919.html?s=01&t=0,广州-海珠区,15.0-25.0千/月,12-09
数据分析师,上海贝锐信息科技股份有限公司,https://jobs.51job.com/guangzhou-thq/109008208.html?s=01&t=0,广州-天河区,5.0-10.0千/月,12-09
数据分析师,广州市华誉电脑系统有限公司,https://jobs.51job.com/guangzhou-byq/107867191.html?s=01&t=0,广州-白云区,3-6千/月,12-09
数据分析师,上海羽厚亦网络科技有限公司广州分...,https://jobs.51job.com/guangzhou-thq/102265894.html?s=01&t=0,广州-天河区,3-6千/月,12-07
数据分析师,广州女人帮健康科技有限公司,https://jobs.51job.com/guangzhou-byq/108257212.html?s=01&t=0,广州-白云区,6-9千/月,12-08
高级数据分析师,广州星逸文化有限公司,https://jobs.51job.com/guangzhou/107985433.html?s=01&t=0,广州,8.0-12.0千/月,12-08
游戏数据分析师,成都米粒乐享人力资源管理有限公司,https://jobs.51job.com/guangzhou-thq/104380248.html?s=01&t=0,广州-天河区,10.0-20.0千/月,12-07
数据分析师,广州致景信息科技有限公司,https://jobs.51job.com/guangzhou-hzq/104281059.html?s=01&t=0,广州-海珠区,10.0-15.0千/月,12-08
资深数据分析专员,广州安莱信息通信技术有限公司,https://jobs.51job.com/guangzhou-yxq/106597103.html?s=01&t=0,广州-越秀区,6-8千/月,12-07
数据分析师（大数据）(每月10K-15K),广州蜂陶信息技术有限公司,https://jobs.51job.com/guangzhou-thq/99417325.html?s=01&t=0,广州-天河区,10.0-15.0千/月,12-07
数据分析和挖掘,广州市优普计算机有限公司,https://jobs.51job.com/guangzhou/90223430.html?s=01&t=0,广州,7.0-11.0千/月,12-07
数据分析师,广州艾力彼管理顾问有限公司,https://jobs.51job.com/guangzhou-hzq/89674287.html?s=01&t=0,广州-海珠区,6.0-10.0千/月,12-07
数据分析实习生,广州向日葵信息科技有限公司,https://jobs.51job.com/guangzhou-thq/104548339.html?s=01&t=0,广州-天河区,150元/天,12-07
产品事业部-数据分析师,广东中标数据科技股份有限公司,https://jobs.51job.com/guangzhou-yxq/105949445.html?s=01&t=0,广州-越秀区,10.0-15.0千/月,12-07
数据分析师,南方都市报,https://jobs.51job.com/guangzhou-yxq/100742743.html?s=01&t=0,广州-越秀区,10.0-20.0千/月,12-07
积分核算师（数据分析/pyhton）,广东鑫零售投资有限公司,https://jobs.51job.com/guangzhou-thq/105322890.html?s=01&t=0,广州-天河区,8.0-16.0千/月,12-07
助理研究员/助理数据分析师,新华信（SINOTRUST）,https://jobs.51job.com/guangzhou/98264001.html?s=01&t=0,广州,4.5-5.5千/月,12-07
数据分析/DP经理,艾瑞咨询集团,https://jobs.51job.com/guangzhou-thq/106239375.html?s=01&t=0,广州-天河区,15.0-20.0千/月,12-07
银行SAS/R/PYTHON数据分析挖掘建模岗,深圳市长亮科技股份有限公司,https://jobs.51job.com/guangzhou/102745516.html?s=01&t=0,广州,8.0-18.0千/月,11-26
数据分析师,广州福利汇网络科技有限公司,https://jobs.51job.com/guangzhou-thq/91348878.html?s=01&t=0,广州-天河区,8.0-12.0千/月,12-07
游戏数据分析师,广州四三九九信息科技有限公司,https://jobs.51job.com/guangzhou/98084548.html?s=01&t=0,广州,8.0-15.0千/月,12-07
选品立项数据分析主管（Amazon等出口平台）,文峰荟（广州）创业投资管理有限公司,https://jobs.51job.com/guangzhou-yxq/108506966.html?s=01&t=0,广州-越秀区,8.0-10.0千/月,12-08
数据分析师,广州财略金融信息科技有限公司,https://jobs.51job.com/guangzhou/100931865.html?s=01&t=0,广州,8.0-12.0千/月,12-08
广州分部--运营数据分析员,上海网达软件股份有限公司,https://jobs.51job.com/guangzhou-thq/101269408.html?s=01&t=0,广州-天河区,6-8千/月,12-09
数据分析师,广东快乐种子科技有限公司,https://jobs.51job.com/guangzhou-yxq/108963562.html?s=01&t=0,广州-越秀区,7.0-14.0千/月,12-09
数据分析师,广州百伦供应链科技有限公司,https://jobs.51job.com/guangzhou-thq/105514249.html?s=01&t=0,广州-天河区,8.0-15.0千/月,12-07
数据分析师,广州市震海电子科技有限公司,https://jobs.51job.com/guangzhou-yxq/106858003.html?s=01&t=0,广州-越秀区,6.0-10.0千/月,12-06
数据分析师,广州泰迪智能科技有限公司,https://jobs.51job.com/guangzhou/94683131.html?s=01&t=0,广州,8.0-10.0千/月,12-05
数据分析架构师,广东智慧电子信息产业股份有限公司,https://jobs.51job.com/guangzhou-thq/104383561.html?s=01&t=0,广州-天河区,15.0-23.0千/月,12-06
风控数据分析实习生,深圳中兴飞贷金融科技有限公司,https://jobs.51job.com/shenzhen-nsq/106670065.html?s=01&t=0,异地招聘,6-8千/月,12-06
数据分析师,广州六合信息科技股份有限公司,https://jobs.51job.com/guangzhou-yxq/108983640.html?s=01&t=0,广州-越秀区,10.0-15.0千/月,12-09
Python开发工程师,广州诚予国际市场信息研究有限公司,https://jobs.51job.com/guangzhou/108193384.html?s=01&t=0,广州,5.0-10.0千/月,12-06
高级数据分析师,PPmoney万惠集团,https://jobs.51job.com/guangzhou/104661621.html?s=01&t=0,广州,20.0-30.0千/月,12-04
数据分析顾问,广州赛意信息科技股份有限公司,https://jobs.51job.com/guangzhou-thq/98198718.html?s=01&t=0,广州-天河区,10.0-20.0千/月,12-05
Python开发工程师,广州创必承信息科技有限公司,https://jobs.51job.com/guangzhou-hzq/95532162.html?s=01&t=0,广州-海珠区,8.0-10.0千/月,10-16
数据分析师,广东省广告集团股份有限公司,https://jobs.51job.com/guangzhou-hzq/98223080.html?s=01&t=0,广州-海珠区,20.0-35.0千/月,12-07
高级数据分析师,深圳市小草互联网金融服务有限公司,https://jobs.51job.com/guangzhou/96928987.html?s=01&t=0,广州,10.0-50.0千/月,12-06
数据分析,海南大圣娱乐有限公司广州分公司,https://jobs.51job.com/guangzhou-yxq/97416745.html?s=01&t=0,广州-越秀区,8.0-16.0千/月,10-23
数据分析专员 - 发展商业分析,屈臣氏个人用品商店有限公司,https://jobs.51job.com/guangzhou/105652929.html?s=01&t=0,广州,5-8千/月,10-29
数据分析师,广州舜飞信息科技有限公司,https://jobs.51job.com/guangzhou-thq/104384416.html?s=01&t=0,广州-天河区,10.0-20.0千/月,10-30
数据运营专员,广东南湖国际旅行社有限责任公司,https://jobs.51job.com/guangzhou-yxq/106521006.html?s=01&t=0,广州-越秀区,4.5-6千/月,12-08
数据产品经理,广州市安发网络科技有限公司,https://jobs.51job.com/guangzhou-thq/108417206.html?s=01&t=0,广州-天河区,15.0-20.0千/月,12-07
数据统计专员,广州肌言堂生物科技有限公司,https://jobs.51job.com/guangzhou/104412698.html?s=01&t=0,广州,4.5-6千/月,12-08
