job_name,company_name,region,hands_on_background,academic_requirement,how_many,extra_requirement,functional_categories,work_place,job_information,company_url,num_of_companies,job_url,申请
价格分析专员（数据分析）,广州好莱客创意家居股份有限公司,广州,1年经验,大专,招1人,,   成本管理员,  上班地址：天河区科韵路20号3楼,"['一、岗位职责：', '1、价格维护，核算新产品的标准成本，核算建议价格，制定报价流程，监控价格波动，价格档案归集；', '2、调研公司产品在市场上的主流竞争对手的定价情况；', '3、关注重点材料的采购价格和市场价格情况，及时提出价格修改的策略；', '4、完成上级领导布置的其他工作相关工作。', '', '二、任职要求：', '1、大专或以上学历，财务会计、统计学等相关专业；', '2、1-3年相关工作经验，有一定的成本结构分析能力的优先考虑；', '3、具备良好的协调沟通能力及熟练用OFFICE 。']",http://www.holike.com,1000-5000人,https://jobs.51job.com/guangzhou/103434623.html?s=01&t=0,1
商品数据分析,广州腾羿服饰有限公司,广州,1年经验,大专,招1人,,   业务分析经理主管,  上班地址：广州市白云区鹤龙街鹤龙东路29号CDZ创意空间7楼（地铁2号线黄边站D出口）,"['岗位职责：', '1、核心数据收集及梳理；', '2、商品数据报表的编制；', '3、商品数据初步分析；', '4、企划案协助编制；', '5、 报表PPT编制。', '任职要求：', '1、有一年以上数据统计分析工作经验，有服装行业工作经验优先；', '2、大专以上，商业统计学专业优先；', '3、具备较强的数据分析能力，并能够依据销售数据提出建议；', '4、熟练使用各类office软件（如word、excel、ppt）']",http://www.crz-cn.com/,150-500人,https://jobs.51job.com/guangzhou/83849419.html?s=01&t=0,1
数据分析员,广东菲立智能家居有限公司,广州,1年经验,大专,招若干人,,   数据通信工程师,  上班地址：广州市新塘镇沙埔银沙工业区（荔新九路43号）千亿产业园内,['1、组织完成图纸订单的审图、拆分、计料数据的审核，确保计料数据的正确性；2、审核计料拆分的数据，为生产、备货提供准确的数据；3、分析计料数据的出错原因，进行合理修改和调整，提升订单计料的准确性和质量。岗位要求：1、该岗位需学习相关产品知识和电脑绘图软件的知识；2、大专以上学历（具有家居行业经验者优先）；3、性格外向，吃苦耐劳、可接受加班。'],http://www.felive.com,50-150人,https://jobs.51job.com/guangzhou/106262706.html?s=01&t=0,1
客服部数据分析师,广州纽得赛生物科技有限公司,广州,1年经验,本科,招1人,,   网店店铺管理员,  上班地址：海珠区赤岗西路265号文化谷一号楼101,[],http://www.niudesai.com,50-150人,https://jobs.51job.com/guangzhou/93213833.html?s=01&t=0,1
数据分析专员,国药控股广州有限公司,广州,1年经验,本科,招若干人,,   其他,  上班地址：广州市荔湾区站前路22号医药大厦,[],http://www.sinopharm-gz.com/,1000-5000人,https://jobs.51job.com/guangzhou/63019356.html?s=01&t=0,1
数据分析助理,广州中味餐饮服务有限公司,广州,无工作经验,本科,招2人,,   采购助理,  上班地址：开发区开达路77号,"['1、学习对采购计划数据收集、分析、规划工作 ；', '2、学习实施和推进采购计划，完成公司的推进进度；', '2、学习制定和推进产品上市波段方案；', '3、学习品牌、渠道（店厅）、月度货品进、销、存分析；', '4、学习结合数据分析的市场调研工作', '任职资格：', '1、本科学历以上，应届生优先；', '2、工作认真，积极，有好学心态优先录用。', '3、能够精通办公软件的操作，在Excel的操作无阻碍很清晰；']",http://www.cdcic.cn,1000-5000人,https://jobs.51job.com/guangzhou/106083117.html?s=01&t=0,1
助理数据分析,广州市番禺祈福新邨房地产有限公司,广州,1年经验,本科,招2人,,   数据库工程师管理员,  上班地址：广州市番禺区市广路8号祈福新邨,"['岗位要求：', '1.大学本科学历；18-35岁；1年以上数据分析工作经验，具有编程能力者优先；', '2.熟悉SQL、oracle数据库；', '3.具有较强的逻辑思维能力、分析能力、熟悉主流ETL工具。', '4.具有数据工程师职称优先，211/985高校优先。', '', '岗位职责：', '1.负责数据库数据的收集和整理、分类、汇总等；', '2.负责根据项目具体情况，使用power BI工具设计相应的分析报告；', '3.协助BI分析业务数据提取，转换，以及其他领导安排的工作。']",http://www.cliffordgroup.com,10000人以上,https://jobs.51job.com/guangzhou/92590729.html?s=01&t=0,1
数据分析员（电商）,欧派家居集团股份有限公司,广州,1年经验,大专,招1人,,   其他,  上班地址：白云区广花三路366号欧派工业园,"['岗位职责：', '1、负责电商业绩日报表，每周统计电商事业线业绩数据，', '2、电商推广部门的相关推广数据分析', '3、各品类营销支持部相关数据支持', '岗位要求：', '1、25-30岁大专及以上学历，数学统计相关专业；', '2、2年数据分析工作经验，对于数据分析具有一定的认识；', '3、熟悉网络营销流程、网站流量数据分析，对访客的访问数据有较深刻的见解；', '4、积极主动认真工作严谨，熟练运用数据分析工具，如excel、SPSS等。']",http://www.oppein.com,10000人以上,https://jobs.51job.com/guangzhou/105968856.html?s=01&t=0,1
数据分析师,广州市广德昌科技有限公司,广州,无工作经验,大专,招1人,,   其他,  上班地址：广州市越秀区建设大马路22号中环广场B栋2619室,"['1.挖掘管理层和业务部门数据需求，构建数据分析模型，开展数据分析工作，基于数据分析成果，提供管理建议； 2.负责对市场、行业、竞争对手、产品、客户、业务运营等方面数据的收集、整理、分析，完成分析报告、提供数据支持、分析建议；3.负责建立企业数据规则，统一数据源；4. 负责建立指标体系及报表体系，监控业绩达成情况；5. 负责培训并提升企业人员数据分析能力，定期组织安排相关培训；6. 处理上级部门安排的其他工作。', '1. 大专以上学历，具有良好的逻辑思维和数据分析能力；2.有较强的责任心和原则性，有良好的沟通能力、语言表达能力和一定的书面表达能力；3.熟练使用办公软件，精通Excel和PPT的操作。']",http://www.topchance.com.cn,150-500人,https://jobs.51job.com/guangzhou/105476297.html?s=01&t=0,1
数据分析专员,广州市金宇服装有限公司,广州,1年经验,大专,招1人,,   产品品牌专员,  上班地址：广州市白云区大金钟路47号二、三楼,"['   1、对总体的期货执行、库存结构、产品总体进销指标负责，以指标为标准，支持、服务于商品各板块。', '<p style=""text-indent: 2em;"">2、按照部门整体要求，对数据进行收集和分析，提交相关报表到上级。', '<p style=""text-indent: 2em;"">3、日常数据整理，报表格式根据要求进行规范，达到定时，准确提交。', '<p style=""text-indent: 2em;"">4、随时关注货品库存变动情况，对新上市货品和促销货品进行阶段性数据库存分析。', '<p style=""text-indent: 2em;"">5、收集竞争品牌推广及新货上市动态。', '<p style=""text-indent: 2em;"">6、完善商品部各板块相关报表，优化各板块报表工作。', '<b>任职要求：</b>', '<p style=""text-indent: 0px; ""><span style=""text-indent: 2em;""><b>  </b>1、2年以上中高端品牌服装商品计划或商品企划经验；', '<p style=""text-indent: 2em;"">        2、有一定的数据分析能力，熟练操作服装经销存软件，对PPT及图片处理等工具熟悉；    3、服装审美能力强，有敏锐的时尚触角；    4、沟通协调能力，有团队合作意识。']",http://www.aikerl.com,500-1000人,https://jobs.51job.com/guangzhou/102652265.html?s=01&t=0,1
