job_name,company_name,region,hands_on_background,academic_requirement,how_many,functional_categories,work_place,job_information,company_url,num_of_companies
高级数据分析经理,广州六合信息科技股份有限公司,广州-越秀区,3-4年经验,本科,招1人,   总监部门经理,  上班地址：广州市越秀区广州市越秀区东华西路59号移动大厦,岗位任职资格与技能要求：  1、本科及以上学历，统计学、计算机或相关专业毕业；  2、3年以上项目管理经验，熟悉项目管理理论；  3、熟悉电信运营商或相关行业IT项目现场工作方式，有实际参与过项目一线工作的经验；  4、熟悉主流软件技术，对大数据相关项目经验优先；  5、具备较丰富的方案设计、标书应答、用户交流经验；  6、具有PMP或者信息系统高级项目管理师资格证书优先。  工作职责：  1、负责项目管理的日常工作，包括负责交付中心各项目的统筹管理，如项目计划制定、进度跟踪、收款管理、项目评审等；  2、管理交付团队，掌握项目的整体状况，有效控制成本并解决项目中发现的问题；  3、指导现场项目经理项目管理方法和控制手段，不断提升交付团队的技术及业务水平；  4、积极响应客户投诉，指挥交付团队处理现场突发状况；  5、根据项目和外部环境的发展趋势，了解并探索新技术，推动项目团队应用新技术；  6、协助市场部进行市场拓展，推动售前工作并协助输出技术方案。,http://www.gzliuhe.com/,50-150人
高级数据分析专员,威莱（广州）日用品有限公司,广州,2年经验,招2人,12-09发布'],   大数据开发分析,  上班地址：广州市天河路228号广晟大厦26楼,"1.通过各渠道数据整合，配合业务部门推动数据化运营；,3.根据市场发展及数据分析情况，协助准确定位品牌、产品价值链，配合企业寻求更好的机会点；,4.协助进行市场调研分析与行业分析，配合制定产品服务策略，形成报告；,岗位要求：",http://www.walch.net.cn,10000人以上
教务专员（数据分析、后台管理方向）,广东东湖棋院,广州-越秀区,无工作经验,大专,招2人,   市场分析调研人员,  上班地址：中山六路2号新宝利大厦904-905广东东湖棋院,"这里，有一个积极向上的公司氛围；这里，有完善的晋升机制与福利待遇；这里，也有一群斗志激昂的小伙伴！无论是身经百战的你，还是初出茅庐的你，只要你愿意尝试，公司平台为你开放！走进东记，在平凡工作中体现你的不平凡价值！,,【教务专员（数据分析、后台管理方向）】,一、岗位职责：,1、教务工作：负责统筹各校区老师工作安排，师资配比最优化；,2、系统操作：负责内部管理系统的维护和利用系统进行各项数据分析；,3、师资管理：负责协助部门主管开展师资考评与培训等工作；,4、数据分析：负责分析棋院运营数据，分析业绩达成情况及趋势；,5、行政工作：负责起草，协助审核、修订教师相关的各项机制，协助部门日常事务工作。,,二、任职资格:,1、大专或以上学历，专业不限，1年以上工作经验，优秀毕业生也可；,2、有一定的文书编写能力，对数据敏感者优先考虑，做事细心、认真、负责；,3、沟通及协调能力强、具备主动积极的工作态度；,4、熟练运用OFFICE办公软件。,,三、薪资待遇：,4000-6000/月,,四、工作地点：,,五、工作时间：,每周5.5天，周日下午周一全天休息,,六、员工福利：,1、入职当月购买五险一金；,2、享有带薪年假，具体按公司制度执行；,3、丰富的团队建设活动（包含但不限于春游、生日会、茶话会等，让员工的工作与生活得到完美平衡），节假日礼品（春节、中秋节、妇女节等）；,,【公司简介】,东湖棋院是全国规模领先的一家少儿棋类教育培训机构，国际著名投资机构风险投资企业，连续16年高速发展，在广东省内及全国各省进行网点布局。现诚邀各位年轻活力有理想的你们，加入中华民族儿童教育事业，共同为提升儿童综合素质贡献力量！棋院提供专业系统的在职培训，薪酬提升快，晋升空间广阔，五险一金福利齐全，欢迎你的加入！,,【公司文化】,愿景：立足国内，拓展海外，成为儿童棋类素质教育领域最有影响力的教育机构。,使命：传播中华优秀传统棋文化，以传统文化提升儿童素质教育水平。,东湖官网：http://www.dhqy.com,东记精神：教棋育人。,,,【联系方式】,龙小姐：83516872/83339586,,对此岗位有兴趣的候选人，可直接投递简历，我们将会在2-3个工作日内进行处理。",http://www.dhqy.com,50-150人
数据分析师,广东鑫兴科技有限公司,佛山-南海区,3-4年经验,硕士,招1人,   大数据开发分析,  上班地址：南海区金科路6号中控大厦9楼905-908室,"   岗位职责：,制定数据统计、分析规范，并建立相关的分析统计模型,管理和改进项目的数据分析模型,负责专项数据分析，提供数据支持,负责与客户进行业务沟通需求，进行数据分析，整合资料内容，撰写分析报告,负责与研发人员的对接，将数据分析内容转化为具体的系统功能，持续跟踪产品实现确保设计和实现的一致性,   任职要求： ,研究生以上学历，计算机/软件工程相关专业，有2年以上数据分析工作经验； ,有数据分析、大数据应用从业经验优先； ,超强的逻辑推理能力、创造性思维、擅长数字分析以及解决复杂问题的能力； ,有很强的文字和口头表达能力，较强的团队领导能力和激励、沟通、协调能力 ,对新技术敏感，工作细致，较好的适应能力及文档编写能力；,熟练掌握数据挖掘技术，具备较强的数据挖掘能力。",http:// // www.gdsinsing.com,少于50人
数据分析员（双休+五险一金+近地铁）,深圳市利航国际货运代理有限公司广...,广州-越秀区,2年经验,大专,招2人,   财务分析员,  上班地址：东风中路318号嘉业大厦12楼,"岗位职责,1.负责核对并确认客户每笔业务，与客户完成对账工作；,2.负责完成应付账款的审核、核销，以确保系统金额与实际一致；,3.发票的开具与统计，进项发票的催收；,4.对应收帐款金额较大、帐龄较长的客户进行重点跟踪，包括及时与客户对帐，查明原因并向部门主管领导汇报；,5.及时对应付账款做好付款计划,6.做好相关业务单据的整理、归档、保管工作；,7.领导调配的其他工作。,任职要求：,1.一年以上应付工作经验，有物流行业经验者优先考虑；,2.具有较强的沟通能力，有良好的纪律性、自律性以及对工作认真、细致、负责的态度，具有学习的态度，并能在压力下工作；,3.良好的团队合作精神和较强的责任心；,4.工作认真负责，有条理，工作效率高；,5.Word、Exel等OFFICE软件和财务金蝶K3软件的熟练应用。,,员工福利∣Our welfare,——常规福利：五险一金、全勤奖、年终奖、节日红包等多种福利！,——薪酬发展：每年拥有1-2次加薪机会！,——带薪休假：带薪的法定节假日、年假、生日假等！,——旅游娱乐：每年为您提供1-2次旅游，优秀员工还可额外增加1次国外游！,——其他活动：六一、圣诞、中秋、年会等团队活动，等您来参加哦！！！,工作时间：朝九晚六、周末双休,工作地址：地铁2号线纪念堂D1步行5分钟左右；公交车站：广东大厦、东风中路、正骨医院",http://www.profitsail.com/chi/about.html,500-1000人
数据分析工程师,广东赛百威信息科技有限公司,广州-黄埔区,3-4年经验,大专,招1人,   大数据开发分析,  上班地址：广州市萝岗区科学城彩频路11号广东软件园F栋12-13楼,"岗位职责：,1.负责业务数据分析、熟悉运用Tableau工具制作数据报表；,2.根据业务逻辑，优化管理相应的数据库相应表、结构、数据；,3.熟练使用MySQL、Sql Server数据库处理大量的数据、优化数据库；,4.熟悉使用PowerBI、DataV等工具制作大屏，实现数据可视化；,5.负责与各部门沟通，对接项目统筹、任务分配等管理工作；,6.完成上级交代的其他事项。,任职资格： 1.国家正规院校毕业，本科或以上学历，计算机、通信工程、数学、统计学、物流管理或工商管理类专业； 2.对数据敏感，较好的数据分析处理能力,熟悉SQL、Excel、PowerBI、Tableau操作；3.熟悉常用的数据库查询表结构的处理及写脚本； 4.具有较强的学习能力、良好的沟通能力和应变能力； 5.具有较好的英文读写能力；",http://www.cyberway.com.cn,150-500人
商品数据分析,广东骆驼户外用品有限公司,广州-白云区,无工作经验,招1人,12-09发布'],   市场分析调研人员,  上班地址：石槎路398号（骆驼大厦旁中恒二楼）,"1、负责公司商品方面的数据分析(包括库存/售罄率/销售状况/货品结构等),为公司提供全面的数据分析结果,提出合理化建议,令销售取得更好的经营效益。,2、按照商品结构分析提供合理的订购指标,依据区域性消费结构,提供合理的商品组织结构和尺码配比。,3、跟进商品卸货期,及时反馈,关注销售变化,下补订单。,4、协助其他部门配合商品资料核准及其他工作安排。,5、有鞋类或服装行业分析岗位工作经验者优先。,,任职要求:,1、大专以上学历，2年以上鞋子或服装公司工作经验;,2、熟悉ERP,对进、销、存数据变化具有敏感性;,3、熟练使用Excel、PPT等数据工具;,4、条理清晰,有良好的表达能力及沟通能力;,5、做事认真负责,有上进心,有责任感,能承受工作压力,团队意识强。,",http://www.camelvip.com/,1000-5000人
商品专员/数据分析,广州衣酷服饰有限公司,广州-白云区,1年经验,大专,招2人,   市场分析调研人员,  上班地址：嘉禾街康庄路2号龙禧广场A栋4-6楼,"1.负责对电商销售平台商品进行合理规划、调配，安排各平台产品上下架并跟进落实；,2. 对平台每日销售情况进行实时监控，进行畅销品实时调配与划拨；,3. 负责每月配货、对帐、盘点等；,4. 配合各平台活动进行商品选款、促销价议定、报名数量规划，并对每期节点活动销售进行即时分析；,5. 对网店退货及质量投诉进行分析，减少退款率，保障部门目标达成。,,<b>任职资格：</b>,1.大专或以上学历；,2.一年以上线上箱包或服饰行业同等岗位工作经验；,3.对数字敏感，能熟练运用EXCEL各项数据功能；,4.有较强的责任心及团队精神。,,,薪酬与福利：,1，工作时间：大小周工作制 ；,2，公司为员工统一购买社保；,3，完善的薪酬体制：享受年度至少一次调薪机会；,4，公司每月定期发布竞岗，为员工提供竞岗平台；,5，丰富的员工福利：免费工作餐，生日会，每周下午茶，年度体检，年度旅游，各类年节福利等；,6，年度旅游，年度体检，每月文娱活动，部门活动等；,7，多彩的员工活动：春节晚会、双十一誓师大会、羽毛球、篮球俱乐部等；,8，工作环境：人性化的办公场所",http://www.hautton.net/,150-500人
数据分析研究员,广州市明师教育服务股份有限公司,广州-海珠区,3-4年经验,本科,招1人,   市场分析调研人员,  上班地址：昌岗中路164号兰亭熙园2号明师教育总部大楼,"1、搜集、研究、分析广州、广东至全国各地教育行业发展趋势及市场信息等相关数据，以周报、月报、季度报表的形式向公司输出市场分析报告，编写专题研究、拓展规划报告；2、分析教育行业数据和市场信息，研究影响教育行业的相关因素，对未来行业市场趋势做出预测、提供分析建议；3、支持公司其他业务部门在市场数据和市场分析方面的需求；4、完成部门负责人交代的其他工作。,1.本科以上学历,统计学、数学与应用、市场营销、应用心理学、社会学等相关专业；2.两年以上市场调研经验，善于市场信息数据分析，并做出策略判断；3.具有良好的沟通能力和理解能力，有较强的协调能力，具有团队合作精神；4.责任心强，工作积极主动，思维活跃，遇到问题，能够想方设法解决；5.具有较强的逻辑分析能力，对数据与信息分析兴趣程度高；6.有良好的写作水平，熟悉电脑软件操作（windows、excel、PPT等）；能熟练使用数据库软件（如SQL、SPSS、SAS、MALTAB）；7.具有很强的学习能力，对新知识和新技术，并能够很快上手。8.能承担较大的工作压力，细心且愿意尝试挑战性工作。9.有在大型市场研究公司工作的经验优先、能独立撰写研究报告、有建模经验的优先。",http://www.mingshiedu.com,1000-5000人
运营数据分析师,广州市亚丹柜业有限公司,广州-花都区,1年经验,本科,招1人,   财务分析经理主管,  上班地址：广州市花都区花东镇港头省华侨经济开发区8号,"岗位职责：,1、对运营数据进行监控分析，根据数据情况快速有效的定位问题并提出解决方案；,2、分析用户来源、行为路径、转化率等运营核心数据，给各职能部门提供数据反馈和建议；,3、通过各类数据分析发现业务趋势，并反馈至各业务部门进行落地；,4、对运营数据进行挖掘和分析，对流程优化、产品改进等工作予以数据支持；,5、管理和改进项目的数据分析模块，建立数据流转规则及异常预警机制。,,任职条件：,1、全日制本科及以上学历，统计、数学、计算机、信息技术等理科专业背景者优先；,2、二年及以上数据分析工作经验；,3、良好的数据敏感度，能从海量数据提炼核心结果，具备独立编写数据分析报告的能力；,4、具备较强的沟通能力，逻辑思维能力，团队协作能力，为人耐心细致，责任心强。",http://gz-yadan.com,1000-5000人
