job_name,company_name,job_url,work_place,salary,publish_time
高级数据分析经理,广州六合信息科技股份有限公司,https://jobs.51job.com/guangzhou-yxq/109039278.html?s=01&t=0,广州-越秀区,15.0-20.0千/月,12-09
高级数据分析专员,威莱（广州）日用品有限公司,https://jobs.51job.com/guangzhou/109027229.html?s=01&t=0,广州,6-8千/月,12-09
教务专员（数据分析、后台管理方向）,广东东湖棋院,https://jobs.51job.com/guangzhou-yxq/106809103.html?s=01&t=0,广州-越秀区,4-6千/月,12-09
数据分析师,广东鑫兴科技有限公司,https://jobs.51job.com/foshan-nhq/109015518.html?s=01&t=0,异地招聘,12.0-30.0千/月,12-09
数据分析员（双休+五险一金+近地铁）,深圳市利航国际货运代理有限公司广...,https://jobs.51job.com/guangzhou-yxq/109026857.html?s=01&t=0,广州-越秀区,3-5千/月,12-09
数据分析工程师,广东赛百威信息科技有限公司,https://jobs.51job.com/guangzhou-hpq/84661412.html?s=01&t=0,广州-黄埔区,6-8千/月,12-09
商品数据分析,广东骆驼户外用品有限公司,https://jobs.51job.com/guangzhou-byq/108241702.html?s=01&t=0,广州-白云区,6-8千/月,12-09
商品专员/数据分析,广州衣酷服饰有限公司,https://jobs.51job.com/guangzhou-byq/97321911.html?s=01&t=0,广州-白云区,4-5千/月,12-08
数据分析研究员,广州市明师教育服务股份有限公司,https://jobs.51job.com/guangzhou-hzq/94113945.html?s=01&t=0,广州-海珠区,7.0-10.0千/月,12-08
运营数据分析师,广州市亚丹柜业有限公司,https://jobs.51job.com/guangzhou-hdq/107887283.html?s=01&t=0,广州-花都区,8.0-15.0千/月,12-08
销售助理/销售数据分析专员,广州市娇兰化妆品有限公司,https://jobs.51job.com/guangzhou/98319353.html?s=01&t=0,广州,3.5-6千/月,12-08
数据分析,广州乐牛软件科技有限公司,https://jobs.51job.com/guangzhou-thq/106111628.html?s=01&t=0,广州-天河区,8.0-12.0千/月,12-07
游戏数据分析师,广州四三九九信息科技有限公司,https://jobs.51job.com/guangzhou/98084548.html?s=01&t=0,广州,8.0-15.0千/月,12-07
数据分析师,广州财略金融信息科技有限公司,https://jobs.51job.com/guangzhou/100931865.html?s=01&t=0,广州,8.0-12.0千/月,12-08
数据分析工程师,广州力挚网络科技有限公司,https://jobs.51job.com/guangzhou-thq/105947282.html?s=01&t=0,广州-天河区,9.0-14.0千/月,12-07
高级数据分析师,广东新日生物科技有限公司,https://jobs.51job.com/guangzhou-thq/109049405.html?s=01&t=0,广州-天河区,8.0-10.0千/月,12-09
数据分析师 - 广州,精硕科技(北京)股份有限公司,https://jobs.51job.com/guangzhou-thq/82899644.html?s=01&t=0,广州-天河区,6-8千/月,12-07
Big Data Analyst大数据分析,广东万宁连锁商业有限公司,https://jobs.51job.com/guangzhou-yxq/102679635.html?s=01&t=0,广州-越秀区,8.0-13.0千/月,12-07
高级数据分析师,深圳索信达数据技术股份有限公司,https://jobs.51job.com/guangzhou-thq/107150542.html?s=01&t=0,广州-天河区,20.0-25.0千/月,12-08
数据分析员,广州市碧婷服饰有限公司,https://jobs.51job.com/guangzhou-byq/108478921.html?s=01&t=0,广州-白云区,4-5千/月,12-08
